Rank,Supplier,Total,Year,TIV
1,United States,713634,1950,1391
1,United States,713634,1951,4049
1,United States,713634,1952,6928
1,United States,713634,1953,9810
1,United States,713634,1954,6129
1,United States,713634,1955,7191
1,United States,713634,1956,8573
1,United States,713634,1957,8599
1,United States,713634,1958,9600
1,United States,713634,1959,7438
1,United States,713634,1960,6181
1,United States,713634,1961,6295
1,United States,713634,1962,6132
1,United States,713634,1963,9368
1,United States,713634,1964,12331
1,United States,713634,1965,11311
1,United States,713634,1966,8478
1,United States,713634,1967,7266
1,United States,713634,1968,8396
1,United States,713634,1969,11832
1,United States,713634,1970,8972
1,United States,713634,1971,11777
1,United States,713634,1972,10898
1,United States,713634,1973,12015
1,United States,713634,1974,12829
1,United States,713634,1975,15717
1,United States,713634,1976,15651
1,United States,713634,1977,14421
1,United States,713634,1978,14001
1,United States,713634,1979,9789
1,United States,713634,1980,10741
1,United States,713634,1981,13610
1,United States,713634,1982,14008
1,United States,713634,1983,13940
1,United States,713634,1984,11889
1,United States,713634,1985,10804
1,United States,713634,1986,11635
1,United States,713634,1987,12206
1,United States,713634,1988,11869
1,United States,713634,1989,11319
1,United States,713634,1990,10609
1,United States,713634,1991,12509
1,United States,713634,1992,14079
1,United States,713634,1993,13808
1,United States,713634,1994,11500
1,United States,713634,1995,11189
1,United States,713634,1996,10851
1,United States,713634,1997,14513
1,United States,713634,1998,15715
1,United States,713634,1999,11545
1,United States,713634,2000,7572
1,United States,713634,2001,5590
1,United States,713634,2002,4893
1,United States,713634,2003,5662
1,United States,713634,2004,6846
1,United States,713634,2005,6787
1,United States,713634,2006,7545
1,United States,713634,2007,7864
1,United States,713634,2008,6804
1,United States,713634,2009,6888
1,United States,713634,2010,8074
1,United States,713634,2011,8943
1,United States,713634,2012,9053
1,United States,713634,2013,7504
1,United States,713634,2014,9602
1,United States,713634,2015,9932
1,United States,713634,2016,9864
1,United States,713634,2017,11909
1,United States,713634,2018,9824
1,United States,713634,2019,10923
1,United States,713634,2020,9233
1,United States,713634,2021,10613
2,Soviet Union,450754,1950,3977
2,Soviet Union,450754,1951,3602
2,Soviet Union,450754,1952,5880
2,Soviet Union,450754,1953,8523
2,Soviet Union,450754,1954,8624
2,Soviet Union,450754,1955,5752
2,Soviet Union,450754,1956,6376
2,Soviet Union,450754,1957,6682
2,Soviet Union,450754,1958,8047
2,Soviet Union,450754,1959,7877
2,Soviet Union,450754,1960,6329
2,Soviet Union,450754,1961,6220
2,Soviet Union,450754,1962,7641
2,Soviet Union,450754,1963,7026
2,Soviet Union,450754,1964,8908
2,Soviet Union,450754,1965,8666
2,Soviet Union,450754,1966,10312
2,Soviet Union,450754,1967,11697
2,Soviet Union,450754,1968,11196
2,Soviet Union,450754,1969,9851
2,Soviet Union,450754,1970,9782
2,Soviet Union,450754,1971,11163
2,Soviet Union,450754,1972,13288
2,Soviet Union,450754,1973,15504
2,Soviet Union,450754,1974,15244
2,Soviet Union,450754,1975,11300
2,Soviet Union,450754,1976,9574
2,Soviet Union,450754,1977,15145
2,Soviet Union,450754,1978,17336
2,Soviet Union,450754,1979,16699
2,Soviet Union,450754,1980,17904
2,Soviet Union,450754,1981,16896
2,Soviet Union,450754,1982,16233
2,Soviet Union,450754,1983,14726
2,Soviet Union,450754,1984,14091
2,Soviet Union,450754,1985,14449
2,Soviet Union,450754,1986,14817
2,Soviet Union,450754,1987,13466
2,Soviet Union,450754,1988,12412
2,Soviet Union,450754,1989,11819
2,Soviet Union,450754,1990,10063
2,Soviet Union,450754,1991,5656
3,Russia,152936,1992,2605
3,Russia,152936,1993,3439
3,Russia,152936,1994,1475
3,Russia,152936,1995,3812
3,Russia,152936,1996,3550
3,Russia,152936,1997,3345
3,Russia,152936,1998,2032
3,Russia,152936,1999,4256
3,Russia,152936,2000,4486
3,Russia,152936,2001,5277
3,Russia,152936,2002,5737
3,Russia,152936,2003,5141
3,Russia,152936,2004,6253
3,Russia,152936,2005,5140
3,Russia,152936,2006,5126
3,Russia,152936,2007,5500
3,Russia,152936,2008,6175
3,Russia,152936,2009,5052
3,Russia,152936,2010,6187
3,Russia,152936,2011,8679
3,Russia,152936,2012,8177
3,Russia,152936,2013,7926
3,Russia,152936,2014,5495
3,Russia,152936,2015,5942
3,Russia,152936,2016,6836
3,Russia,152936,2017,6234
3,Russia,152936,2018,7097
3,Russia,152936,2019,5531
3,Russia,152936,2020,3686
3,Russia,152936,2021,2744
4,United Kingdom,143986,1950,2282
4,United Kingdom,143986,1951,3468
4,United Kingdom,143986,1952,3254
4,United Kingdom,143986,1953,4583
4,United Kingdom,143986,1954,4452
4,United Kingdom,143986,1955,4799
4,United Kingdom,143986,1956,6022
4,United Kingdom,143986,1957,5041
4,United Kingdom,143986,1958,3934
4,United Kingdom,143986,1959,3467
4,United Kingdom,143986,1960,2221
4,United Kingdom,143986,1961,1244
4,United Kingdom,143986,1962,1117
4,United Kingdom,143986,1963,1297
4,United Kingdom,143986,1964,1407
4,United Kingdom,143986,1965,1471
4,United Kingdom,143986,1966,1369
4,United Kingdom,143986,1967,1967
4,United Kingdom,143986,1968,1617
4,United Kingdom,143986,1969,1761
4,United Kingdom,143986,1970,887
4,United Kingdom,143986,1971,2205
4,United Kingdom,143986,1972,2475
4,United Kingdom,143986,1973,2762
4,United Kingdom,143986,1974,2353
4,United Kingdom,143986,1975,2441
4,United Kingdom,143986,1976,2510
4,United Kingdom,143986,1977,2181
4,United Kingdom,143986,1978,2208
4,United Kingdom,143986,1979,1512
4,United Kingdom,143986,1980,1713
4,United Kingdom,143986,1981,2450
4,United Kingdom,143986,1982,2589
4,United Kingdom,143986,1983,2578
4,United Kingdom,143986,1984,2564
4,United Kingdom,143986,1985,2134
4,United Kingdom,143986,1986,1984
4,United Kingdom,143986,1987,3597
4,United Kingdom,143986,1988,2523
4,United Kingdom,143986,1989,3519
4,United Kingdom,143986,1990,1860
4,United Kingdom,143986,1991,1540
4,United Kingdom,143986,1992,1176
4,United Kingdom,143986,1993,1436
4,United Kingdom,143986,1994,1547
4,United Kingdom,143986,1995,1479
4,United Kingdom,143986,1996,1661
4,United Kingdom,143986,1997,2384
4,United Kingdom,143986,1998,1413
4,United Kingdom,143986,1999,1368
4,United Kingdom,143986,2000,1630
4,United Kingdom,143986,2001,1387
4,United Kingdom,143986,2002,1100
4,United Kingdom,143986,2003,755
4,United Kingdom,143986,2004,1217
4,United Kingdom,143986,2005,1062
4,United Kingdom,143986,2006,997
4,United Kingdom,143986,2007,984
4,United Kingdom,143986,2008,987
4,United Kingdom,143986,2009,1080
4,United Kingdom,143986,2010,1157
4,United Kingdom,143986,2011,1055
4,United Kingdom,143986,2012,929
4,United Kingdom,143986,2013,1608
4,United Kingdom,143986,2014,1651
4,United Kingdom,143986,2015,1179
4,United Kingdom,143986,2016,1394
4,United Kingdom,143986,2017,1173
4,United Kingdom,143986,2018,704
4,United Kingdom,143986,2019,957
4,United Kingdom,143986,2020,556
4,United Kingdom,143986,2021,601
5,France,134262,1950,8
5,France,134262,1951,67
5,France,134262,1952,43
5,France,134262,1953,273
5,France,134262,1954,279
5,France,134262,1955,433
5,France,134262,1956,940
5,France,134262,1957,661
5,France,134262,1958,789
5,France,134262,1959,799
5,France,134262,1960,942
5,France,134262,1961,970
5,France,134262,1962,974
5,France,134262,1963,1235
5,France,134262,1964,1439
5,France,134262,1965,1219
5,France,134262,1966,1683
5,France,134262,1967,1555
5,France,134262,1968,1496
5,France,134262,1969,1491
5,France,134262,1970,1670
5,France,134262,1971,2241
5,France,134262,1972,2540
5,France,134262,1973,2845
5,France,134262,1974,2103
5,France,134262,1975,2203
5,France,134262,1976,2010
5,France,134262,1977,2681
5,France,134262,1978,3263
5,France,134262,1979,2972
5,France,134262,1980,3810
5,France,134262,1981,3715
5,France,134262,1982,3769
5,France,134262,1983,3440
5,France,134262,1984,2992
5,France,134262,1985,4041
5,France,134262,1986,3040
5,France,134262,1987,1793
5,France,134262,1988,1994
5,France,134262,1989,2302
5,France,134262,1990,1836
5,France,134262,1991,1225
5,France,134262,1992,1265
5,France,134262,1993,990
5,France,134262,1994,903
5,France,134262,1995,1026
5,France,134262,1996,1939
5,France,134262,1997,3291
5,France,134262,1998,3172
5,France,134262,1999,1818
5,France,134262,2000,1077
5,France,134262,2001,1416
5,France,134262,2002,1426
5,France,134262,2003,1404
5,France,134262,2004,2308
5,France,134262,2005,1811
5,France,134262,2006,1669
5,France,134262,2007,2375
5,France,134262,2008,1984
5,France,134262,2009,1914
5,France,134262,2010,874
5,France,134262,2011,2223
5,France,134262,2012,1298
5,France,134262,2013,1769
5,France,134262,2014,1754
5,France,134262,2015,2214
5,France,134262,2016,2075
5,France,134262,2017,2343
5,France,134262,2018,1996
5,France,134262,2019,3713
5,France,134262,2020,2484
5,France,134262,2021,3954
6,Germany,90060,1953,38
6,Germany,90060,1954,29
6,Germany,90060,1955,24
6,Germany,90060,1956,24
6,Germany,90060,1957,44
6,Germany,90060,1958,25
6,Germany,90060,1959,93
6,Germany,90060,1960,156
6,Germany,90060,1961,12
6,Germany,90060,1962,146
6,Germany,90060,1963,133
6,Germany,90060,1964,438
6,Germany,90060,1965,331
6,Germany,90060,1966,714
6,Germany,90060,1967,776
6,Germany,90060,1968,574
6,Germany,90060,1969,866
6,Germany,90060,1970,1561
6,Germany,90060,1971,1364
6,Germany,90060,1972,1377
6,Germany,90060,1973,227
6,Germany,90060,1974,1208
6,Germany,90060,1975,1446
6,Germany,90060,1976,1662
6,Germany,90060,1977,1893
6,Germany,90060,1978,1671
6,Germany,90060,1979,1466
6,Germany,90060,1980,1602
6,Germany,90060,1981,1902
6,Germany,90060,1982,1546
6,Germany,90060,1983,2270
6,Germany,90060,1984,2862
6,Germany,90060,1985,1344
6,Germany,90060,1986,1385
6,Germany,90060,1987,928
6,Germany,90060,1988,1402
6,Germany,90060,1989,1298
6,Germany,90060,1990,1863
6,Germany,90060,1991,2407
6,Germany,90060,1992,1498
6,Germany,90060,1993,1544
6,Germany,90060,1994,2896
6,Germany,90060,1995,1517
6,Germany,90060,1996,1957
6,Germany,90060,1997,956
6,Germany,90060,1998,1825
6,Germany,90060,1999,1884
6,Germany,90060,2000,1612
6,Germany,90060,2001,900
6,Germany,90060,2002,915
6,Germany,90060,2003,1669
6,Germany,90060,2004,1114
6,Germany,90060,2005,2064
6,Germany,90060,2006,2717
6,Germany,90060,2007,3281
6,Germany,90060,2008,2372
6,Germany,90060,2009,2466
6,Germany,90060,2010,2671
6,Germany,90060,2011,1314
6,Germany,90060,2012,757
6,Germany,90060,2013,796
6,Germany,90060,2014,1797
6,Germany,90060,2015,1769
6,Germany,90060,2016,2509
6,Germany,90060,2017,1948
6,Germany,90060,2018,1073
6,Germany,90060,2019,1000
6,Germany,90060,2020,1217
6,Germany,90060,2021,914
7,China,58480,1954,3
7,China,58480,1956,39
7,China,58480,1957,30
7,China,58480,1958,463
7,China,58480,1959,361
7,China,58480,1960,285
7,China,58480,1961,35
7,China,58480,1962,47
7,China,58480,1963,12
7,China,58480,1964,68
7,China,58480,1965,387
7,China,58480,1966,619
7,China,58480,1967,412
7,China,58480,1968,730
7,China,58480,1969,657
7,China,58480,1970,893
7,China,58480,1971,1293
7,China,58480,1972,1238
7,China,58480,1973,662
7,China,58480,1974,511
7,China,58480,1975,668
7,China,58480,1976,586
7,China,58480,1977,230
7,China,58480,1978,617
7,China,58480,1979,560
7,China,58480,1980,949
7,China,58480,1981,656
7,China,58480,1982,1504
7,China,58480,1983,1757
7,China,58480,1984,1929
7,China,58480,1985,1290
7,China,58480,1986,1862
7,China,58480,1987,2605
7,China,58480,1988,1412
7,China,58480,1989,1041
7,China,58480,1990,941
7,China,58480,1991,1312
7,China,58480,1992,673
7,China,58480,1993,1407
7,China,58480,1994,1076
7,China,58480,1995,1008
7,China,58480,1996,766
7,China,58480,1997,427
7,China,58480,1998,350
7,China,58480,1999,329
7,China,58480,2000,310
7,China,58480,2001,513
7,China,58480,2002,526
7,China,58480,2003,701
7,China,58480,2004,410
7,China,58480,2005,284
7,China,58480,2006,663
7,China,58480,2007,508
7,China,58480,2008,607
7,China,58480,2009,1136
7,China,58480,2010,1475
7,China,58480,2011,1266
7,China,58480,2012,1517
7,China,58480,2013,2056
7,China,58480,2014,1302
7,China,58480,2015,1798
7,China,58480,2016,2438
7,China,58480,2017,1601
7,China,58480,2018,1306
7,China,58480,2019,1504
7,China,58480,2020,775
7,China,58480,2021,1085
8,Italy,35535,1950,129
8,Italy,35535,1951,106
8,Italy,35535,1952,24
8,Italy,35535,1953,1
8,Italy,35535,1954,11
8,Italy,35535,1955,140
8,Italy,35535,1956,257
8,Italy,35535,1957,275
8,Italy,35535,1958,234
8,Italy,35535,1959,8
8,Italy,35535,1960,104
8,Italy,35535,1961,245
8,Italy,35535,1962,261
8,Italy,35535,1963,240
8,Italy,35535,1964,384
8,Italy,35535,1965,295
8,Italy,35535,1966,243
8,Italy,35535,1967,149
8,Italy,35535,1968,192
8,Italy,35535,1969,325
8,Italy,35535,1970,280
8,Italy,35535,1971,395
8,Italy,35535,1972,296
8,Italy,35535,1973,330
8,Italy,35535,1974,421
8,Italy,35535,1975,512
8,Italy,35535,1976,523
8,Italy,35535,1977,502
8,Italy,35535,1978,680
8,Italy,35535,1979,1308
8,Italy,35535,1980,1167
8,Italy,35535,1981,1708
8,Italy,35535,1982,1677
8,Italy,35535,1983,1171
8,Italy,35535,1984,1256
8,Italy,35535,1985,909
8,Italy,35535,1986,226
8,Italy,35535,1987,618
8,Italy,35535,1988,387
8,Italy,35535,1989,335
8,Italy,35535,1990,206
8,Italy,35535,1991,351
8,Italy,35535,1992,246
8,Italy,35535,1993,340
8,Italy,35535,1994,208
8,Italy,35535,1995,297
8,Italy,35535,1996,291
8,Italy,35535,1997,454
8,Italy,35535,1998,425
8,Italy,35535,1999,503
8,Italy,35535,2000,205
8,Italy,35535,2001,269
8,Italy,35535,2002,479
8,Italy,35535,2003,365
8,Italy,35535,2004,262
8,Italy,35535,2005,830
8,Italy,35535,2006,544
8,Italy,35535,2007,722
8,Italy,35535,2008,434
8,Italy,35535,2009,509
8,Italy,35535,2010,538
8,Italy,35535,2011,945
8,Italy,35535,2012,759
8,Italy,35535,2013,873
8,Italy,35535,2014,672
8,Italy,35535,2015,676
8,Italy,35535,2016,618
8,Italy,35535,2017,774
8,Italy,35535,2018,496
8,Italy,35535,2019,351
8,Italy,35535,2020,847
8,Italy,35535,2021,1717
9,Czech republic,30985,1950,17
9,Czech republic,30985,1951,15
9,Czech republic,30985,1952,15
9,Czech republic,30985,1953,9
9,Czech republic,30985,1954,188
9,Czech republic,30985,1955,1331
9,Czech republic,30985,1956,1871
9,Czech republic,30985,1957,2216
9,Czech republic,30985,1958,1530
9,Czech republic,30985,1959,940
9,Czech republic,30985,1960,661
9,Czech republic,30985,1961,200
9,Czech republic,30985,1962,173
9,Czech republic,30985,1963,137
9,Czech republic,30985,1964,267
9,Czech republic,30985,1965,325
9,Czech republic,30985,1966,427
9,Czech republic,30985,1967,449
9,Czech republic,30985,1968,506
9,Czech republic,30985,1969,667
9,Czech republic,30985,1970,435
9,Czech republic,30985,1971,420
9,Czech republic,30985,1972,648
9,Czech republic,30985,1973,667
9,Czech republic,30985,1974,874
9,Czech republic,30985,1975,712
9,Czech republic,30985,1976,802
9,Czech republic,30985,1977,817
9,Czech republic,30985,1978,846
9,Czech republic,30985,1979,817
9,Czech republic,30985,1980,796
9,Czech republic,30985,1981,937
9,Czech republic,30985,1982,929
9,Czech republic,30985,1983,1049
9,Czech republic,30985,1984,1093
9,Czech republic,30985,1985,1029
9,Czech republic,30985,1986,1231
9,Czech republic,30985,1987,1289
9,Czech republic,30985,1988,1347
9,Czech republic,30985,1989,1053
9,Czech republic,30985,1990,624
9,Czech republic,30985,1991,416
9,Czech republic,30985,1992,213
10,Netherlands,25327,1950,199
10,Netherlands,25327,1951,63
10,Netherlands,25327,1952,20
10,Netherlands,25327,1953,7
10,Netherlands,25327,1954,72
10,Netherlands,25327,1955,255
10,Netherlands,25327,1956,9
10,Netherlands,25327,1957,8
10,Netherlands,25327,1958,51
10,Netherlands,25327,1959,43
10,Netherlands,25327,1960,36
10,Netherlands,25327,1961,108
10,Netherlands,25327,1962,65
10,Netherlands,25327,1963,45
10,Netherlands,25327,1964,93
10,Netherlands,25327,1965,99
10,Netherlands,25327,1966,79
10,Netherlands,25327,1967,95
10,Netherlands,25327,1968,350
10,Netherlands,25327,1969,111
10,Netherlands,25327,1970,5
10,Netherlands,25327,1971,161
10,Netherlands,25327,1972,133
10,Netherlands,25327,1973,205
10,Netherlands,25327,1974,83
10,Netherlands,25327,1975,147
10,Netherlands,25327,1976,293
10,Netherlands,25327,1977,446
10,Netherlands,25327,1978,234
10,Netherlands,25327,1979,244
10,Netherlands,25327,1980,619
10,Netherlands,25327,1981,804
10,Netherlands,25327,1982,664
10,Netherlands,25327,1983,465
10,Netherlands,25327,1984,366
10,Netherlands,25327,1985,184
10,Netherlands,25327,1986,358
10,Netherlands,25327,1987,505
10,Netherlands,25327,1988,763
10,Netherlands,25327,1989,558
10,Netherlands,25327,1990,416
10,Netherlands,25327,1991,455
10,Netherlands,25327,1992,365
10,Netherlands,25327,1993,455
10,Netherlands,25327,1994,627
10,Netherlands,25327,1995,473
10,Netherlands,25327,1996,499
10,Netherlands,25327,1997,614
10,Netherlands,25327,1998,624
10,Netherlands,25327,1999,359
10,Netherlands,25327,2000,284
10,Netherlands,25327,2001,203
10,Netherlands,25327,2002,233
10,Netherlands,25327,2003,331
10,Netherlands,25327,2004,204
10,Netherlands,25327,2005,505
10,Netherlands,25327,2006,1146
10,Netherlands,25327,2007,1212
10,Netherlands,25327,2008,446
10,Netherlands,25327,2009,495
10,Netherlands,25327,2010,370
10,Netherlands,25327,2011,546
10,Netherlands,25327,2012,886
10,Netherlands,25327,2013,388
10,Netherlands,25327,2014,645
10,Netherlands,25327,2015,475
10,Netherlands,25327,2016,485
10,Netherlands,25327,2017,1050
10,Netherlands,25327,2018,462
10,Netherlands,25327,2019,253
10,Netherlands,25327,2020,478
10,Netherlands,25327,2021,299
11,Israel,18873,1954,8
11,Israel,18873,1955,30
11,Israel,18873,1957,4
11,Israel,18873,1959,23
11,Israel,18873,1964,5
11,Israel,18873,1965,10
11,Israel,18873,1966,14
11,Israel,18873,1967,13
11,Israel,18873,1968,23
11,Israel,18873,1969,28
11,Israel,18873,1970,9
11,Israel,18873,1971,21
11,Israel,18873,1972,31
11,Israel,18873,1973,12
11,Israel,18873,1974,45
11,Israel,18873,1975,109
11,Israel,18873,1976,54
11,Israel,18873,1977,202
11,Israel,18873,1978,211
11,Israel,18873,1979,187
11,Israel,18873,1980,267
11,Israel,18873,1981,215
11,Israel,18873,1982,254
11,Israel,18873,1983,416
11,Israel,18873,1984,281
11,Israel,18873,1985,207
11,Israel,18873,1986,350
11,Israel,18873,1987,142
11,Israel,18873,1988,75
11,Israel,18873,1989,209
11,Israel,18873,1990,90
11,Israel,18873,1991,151
11,Israel,18873,1992,324
11,Israel,18873,1993,382
11,Israel,18873,1994,296
11,Israel,18873,1995,166
11,Israel,18873,1996,282
11,Israel,18873,1997,246
11,Israel,18873,1998,230
11,Israel,18873,1999,166
11,Israel,18873,2000,402
11,Israel,18873,2001,471
11,Israel,18873,2002,575
11,Israel,18873,2003,406
11,Israel,18873,2004,606
11,Israel,18873,2005,509
